품목명	제조·생산지	제조일자(유통기한)	수입중량(kg)	세슘	요오드	판정	파일
잼	프랑스	2019.8.4.	813.0	2	불검출	적합	./tables/135/20171222_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	프랑스	2020.2.1.	237.36	4	불검출	적합	./tables/136/20171220_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아연방	2019.12.4.	6.0	90	불검출	적합	./tables/136/20171220_기타국가_방사능_검출_현황-page-1-table-1.csv
액상차	러시아연방	2020.9.19.	6.0	8	불검출	적합	./tables/136/20171221_기타국가_방사능_검출_현황-page-1-table-1.csv
과․채가공품	중국	2019.6.6.	97.5	3	불검출	적합	./tables/137/20171219_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	프랑스	2019.4.4.	362.88	1	불검출	적합	./tables/137/20171218_기타국가_방사능_검출_현황-page-1-table-1.csv
과․채가공품	미국	2019.8.31.	10.0	13	불검출	적합	./tables/138/20171214_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	미국	2019.8.26.	679.68	2	불검출	적합	./tables/138/20171214_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아연방	2019.9.20.	625	71	불검출	적합	./tables/138/20171212_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아연방	2019.3.1.	625	70	불검출	적합	./tables/138/20171212_기타국가_방사능_검출_현황-page-1-table-1.csv
그물버섯(냉동)	스페인	(2017.10.26.)	105	14	불검출	적합	./tables/138/20171212_기타국가_방사능_검출_현황-page-1-table-1.csv
송이버섯	터키	(2017.11.13.)	100	4	불검출	적합	./tables/138/20171212_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	스웨덴	2018.8.28.	857	5	불검출	적합	./tables/139/20171211_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	스웨덴	2019.3.1.	428	1	불검출	적합	./tables/139/20171211_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	중국	2018.10.17.	34,290	1	불검출	적합	./tables/139/20171211_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	이탈리아	2020.12.31.	423	44	불검출	적합	./tables/139/20171211_기타국가_방사능_검출_현황-page-1-table-1.csv
과․채가공품	프랑스	2020.5.29.	180	35	불검출	적합	./tables/139/20171211_기타국가_방사능_검출_현황-page-1-table-1.csv
과․채가공품류	핀란드	2019.9.8.	600	65	불검출	적합	./tables/139/20171211_기타국가_방사능_검출_현황-page-1-table-1.csv
과․채가공품	프랑스	2020.2.1.	1,440	18.9	불검출	적합	./tables/139/20171208_기타국가_방사능_검출_현황-page-1-table-1.csv
과․채가공품	프랑스	2020.8.1.	1,575	8.8	불검출	적합	./tables/139/20171208_기타국가_방사능_검출_현황-page-1-table-1.csv
과․채가공품	중국	2019.5.12.	150	2	불검출	적합	./tables/140/20171206_기타국가_방사능_검출_현황-page-1-table-1.csv
과․채가공품	프랑스	2020.5.29.	180	36	불검출	적합	./tables/140/20171206_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	미국	2019.6.27.	238	67	불검출	적합	./tables/140/20171206_기타국가_방사능_검출_현황-page-1-table-1.csv
능이버섯	중국	(2017.11.1.)	6,816	4	불검출	적합	./tables/140/20171206_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아연방	2020.8.2.	500	45	불검출	적합	./tables/140/20171206_기타국가_방사능_검출_현황-page-1-table-1.csv
차가버섯	러시아연방	(2017.10.1.)	12,000	15	불검출	적합	./tables/140/20171206_기타국가_방사능_검출_현황-page-1-table-1.csv
능이버섯	중국	(2017.11.10.)	5,000	2	불검출	적합	./tables/140/20171207_기타국가_방사능_검출_현황-page-1-table-1.csv
블루베리	미국	(2017.7.13.)	23,120	3	불검출	적합	./tables/140/20171207_기타국가_방사능_검출_현황-page-1-table-1.csv
차가버섯	러시아연방	(2017.10.1.)	12,000	15	불검출	적합	./tables/140/20171207_기타국가_방사능_검출_현황-page-1-table-1.csv
과․채가공품	중국	2019.4.29.	800	1	불검출	적합	./tables/140/20171207_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아연방	2020.11.16.	200.0	59	불검출	적합	./tables/141/20171130_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아연방	2020.11.16.	200.0	56	불검출	적합	./tables/141/20171130_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아연방	2019.09.20.	625	64	불검출	적합	./tables/141/20171201_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아연방	2020.11.17.	200	56	불검출	적합	./tables/141/20171201_기타국가_방사능_검출_현황-page-1-table-1.csv
고형차	러시아연방	2020.11.07.	100	48	불검출	적합	./tables/141/20171201_기타국가_방사능_검출_현황-page-1-table-1.csv
건조그물버섯	이탈리아	2018.10.30.	12	2	불검출	적합	./tables/141/20171201_기타국가_방사능_검출_현황-page-1-table-1.csv
과․채가공품	중국	2019.10.13.	100	1	불검출	적합	./tables/141/20171201_기타국가_방사능_검출_현황-page-1-table-1.csv
냉동능이버섯	중국	2019.10.31.	6,490	7	불검출	적합	./tables/142/20171129_기타국가_방사능_검출_현황-page-1-table-1.csv
과채가공품	네덜란드	2018-08-16	100	2 Bq/kg	불검출	적합	./tables/142/cleaned_20171128_기타국가_방사능_검출_현황(건조+능이버섯)-page-1-table-1.csv
건조 능이버섯	중국	(2017-11-01)	600	2 Bq/kg	불검출	적합	./tables/142/cleaned_20171128_기타국가_방사능_검출_현황(건조+능이버섯)-page-1-table-1.csv
쨈	프랑스	2019-07-25	103	1 Bq/kg	불검출	적합	./tables/142/cleaned_20171128_기타국가_방사능_검출_현황(건조+능이버섯)-page-1-table-1.csv
건조 능이버섯	중국	(2017-11-10)	260	3 Bq/kg	불검출	적합	./tables/142/cleaned_20171128_기타국가_방사능_검출_현황(건조+능이버섯)-page-1-table-1.csv
건조 능이버섯	중국	(2017-11-12)	990	2 Bq/kg	불검출	적합	./tables/142/cleaned_20171128_기타국가_방사능_검출_현황(건조+능이버섯)-page-1-table-1.csv
잼	스웨덴	2019.02.11.	25.6	60	불검출	적합	./tables/143/20171122_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	스웨덴	2019.02.09.	435.2	98	불검출	적합	./tables/143/20171122_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	이탈리아	2021-05-29	21.0	1 Bq/kg	불검출	적합	./tables/143/cleaned_20171127_기타국가_방사능_검출_현황(쨈,+과채가공품)-page-1-table-1.csv
과채가공품	프랑스	2020-05-29	180.0	45 Bq/kg	불검출	적합	./tables/143/cleaned_20171127_기타국가_방사능_검출_현황(쨈,+과채가공품)-page-1-table-1.csv
"빌베리추출물
(원료)"	독일	2019-03-01	50.0	12 Bq/kg	불검출	적합	./tables/143/cleaned_20171127_기타국가_방사능_검출_현황(쨈,+과채가공품)-page-1-table-1.csv
잼	프랑스	2019.09.14.	2,220	4	불검출	적합	./tables/144/20171120_기타국가_방사능_검출_현황-page-1-table-1.csv
과․채가공품	프랑스	2020.05.29.	180	35	불검출	적합	./tables/144/20171120_기타국가_방사능_검출_현황-page-1-table-1.csv
과․채가공품	중국	2019.04.29	200	2	불검출	적합	./tables/144/20171120_기타국가_방사능_검출_현황-page-1-table-1.csv
잼	중국	2018.9.24.	21,280	1	불검출	적합	./tables/144/cleaned_20171117_기타국가_방사능_검출_현황(중국산+잼)-page-1-table-1.csv
냉동능이버섯	중국	2017년산	10,330	2	불검출	적합	./tables/145/cleaned_20171116_기타국가_방사능_검출_현황(중국산+능이버섯)-page-1-table-1.csv
잼	중국	(2017.8.30.)	4,720	1	불검출	적합	./tables/145/cleaned_20171113_기타국가_방사능_검출_현황(중국산+잼)-page-1-table-1.csv
건 차가버섯	러시아	(2017.9.15.)	14,670	12	불검출	적합	./tables/146/cleaned_20171110_기타국가_방사능_검출_현황(러시아산+차가버섯)-page-1-table-1.csv
건조 차가버섯	러시아	(2017-09-15)	14,670	12 Bq/kg	불검출	적합	./tables/146/cleaned_20171109_기타국가_방사능_검출_현황(버섯류,+쨈)-page-1-table-1.csv
냉동 능이버섯	중국(티벳)	(2017-10-25)	3,584	2 Bq/kg	불검출	적합	./tables/146/cleaned_20171109_기타국가_방사능_검출_현황(버섯류,+쨈)-page-1-table-1.csv
잼	이탈리아	2019-01-05	259	27 Bq/kg	불검출	적합	./tables/146/cleaned_20171109_기타국가_방사능_검출_현황(버섯류,+쨈)-page-1-table-1.csv
잼	프랑스	2019-08-01	1,391	2 Bq/kg	불검출	적합	./tables/146/cleaned_20171109_기타국가_방사능_검출_현황(버섯류,+쨈)-page-1-table-1.csv
잼	오스트리아	2019-10-10	38	25 Bq/kg	불검출	적합	./tables/146/cleaned_20171109_기타국가_방사능_검출_현황(버섯류,+쨈)-page-1-table-1.csv
과채가공품	독일	(2017.08.01.)	15,250	8	불검출	적합	./tables/147/cleaned_20171103_기타국가_방사능_검출_현황(독일산+과채가공품)-page-1-table-1.csv
과채가공품	독일	(2017.07.27.)	11,780	5	불검출	적합	./tables/147/cleaned_20171103_기타국가_방사능_검출_현황(독일산+과채가공품)-page-1-table-1.csv
능이버섯	러시아	(2017.09.12.)	121.0	90	불검출	적합	./tables/147/cleaned_20171106_기타국가_방사능_검출_현황(러시아산+능이버섯)-page-1-table-1.csv
능이버섯(건조)	러시아연방	(2017.10.26.)	101.0	81	불검출	적합	./tables/148/cleaned_20171102_기타국가_방사능_검출_현황(러시아산+건조능이버섯)-page-1-table-1.csv
냉동능이버섯	중국	(2017.9.18.)	8,584	2	불검출	적합	./tables/150/cleaned_20171025_기타국가_방사능_검출_현황(중국산+냉동능이버섯)0-page-1-table-1.csv
송이버섯	중국	2017년산	88.0	1	불검출	적합	./tables/150/cleaned_20171023_기타국가_방사능_검출_현황(중국산+송이버섯)-page-1-table-1.csv
냉동 블루베리	프랑스	(2016-07-30)	1,890	8 Bq/kg	불검출	적합	./tables/154/cleaned_20171002_기타국가_방사능_검출_현황(블루베리,+향신료)-page-1-table-1.csv
"천연향신료
(건조제품)"	이탈리아	2020-06-13	8	4 Bq/kg	불검출	적합	./tables/154/cleaned_20171002_기타국가_방사능_검출_현황(블루베리,+향신료)-page-1-table-1.csv
음료베이스	스웨덴	2019-06-03	514	3 Bq/kg	불검출	적합	./tables/155/cleaned_20170926_기타국가_방사능_검출_현황(스웨덴+잼류)-page-1-table-1.csv
잼류	스웨덴	2018-11-09	1,945	15 Bq/kg	불검출	적합	./tables/155/cleaned_20170926_기타국가_방사능_검출_현황(스웨덴+잼류)-page-1-table-1.csv
잼류	스웨덴	2018-10-17	1,612	1 Bq/kg	불검출	적합	./tables/155/cleaned_20170926_기타국가_방사능_검출_현황(스웨덴+잼류)-page-1-table-1.csv
"유기농 링곤베리 
잼"	스웨덴	2018.11.20.	806.0	2	불검출	적합	./tables/158/cleaned_20170908_기타국가_방사능_검출_현황(스웨덴산+유기농+링곤베리잼)-page-1-table-1.csv
건 차가버섯	러시아연방	2017년산	3,000	27	불검출	적합	./tables/160/cleaned_20170828_기타국가_방사능_검출_현황(러시아산+차가버섯)-page-1-table-1.csv
능이버섯	중국	2017년산	104.0	5	불검출	적합	./tables/160/cleaned_20170824_기타국가_방사능_검출_현황(중국산+능이버섯)-page-1-table-1.csv
건 차가버섯	러시아연방	(2017.4.18.)	5,195	10	불검출	적합	./tables/161/cleaned_20170822_기타국가_방사능_검출_현황(러시아산+차가버섯)-page-1-table-1.csv
건조 차가버섯	러시아연방	(2017.5.27.)	100	31	불검출	적합	./tables/161/cleaned_20170822_기타국가_방사능_검출_현황(러시아산+차가버섯)-page-1-table-1.csv
차가버섯	러시아	(2017.7.10.)	997	2	불검출	적합	./tables/166/cleaned_20170724_기타국가_방사능_검출_현황(러시아+차가버섯+및+독일+잼)-page-1-table-1.csv
잼	독일	2019.6.12.	2,720	13	불검출	적합	./tables/166/cleaned_20170724_기타국가_방사능_검출_현황(러시아+차가버섯+및+독일+잼)-page-1-table-1.csv
냉동 능이버섯	중국	2019.5.31.	10,430	4	불검출	적합	./tables/168/cleaned_20170711_기타국가_방사능_검출_현황(중국+냉동+및+건조능이버섯)-page-1-table-1.csv
건조 능이버섯	중국	2019.5.31.	489	3	불검출	적합	./tables/168/cleaned_20170711_기타국가_방사능_검출_현황(중국+냉동+및+건조능이버섯)-page-1-table-1.csv
차가버섯	러시아연방	"-
(2016-10-01)"	6,500	44	불검출	적합	./tables/185/20170320+기타국가+방사능+검출+현황(차가버섯+2건)-page-1-table-1.csv
차가버섯(건조)	벨라루스	"-
(2017-02-10)"	120	11	불검출	적합	./tables/185/20170320+기타국가+방사능+검출+현황(차가버섯+2건)-page-1-table-1.csv
꾀꼬리버섯	폴란드	2018-06-06	100.0	6	불검출	적합	./tables/191/20170214+기타국가+방사능+검출+현황(폴란드+꾀꼬리버섯+외2건)-page-1-table-1.csv
그물버섯	리투아니아	2018-05-29	480.0	4	불검출	적합	./tables/191/20170214+기타국가+방사능+검출+현황(폴란드+꾀꼬리버섯+외2건)-page-1-table-1.csv
유기농 블루베리 잼	스웨덴	2018-04-27	428	2	불검출	적합	./tables/192/20170210+기타국가+방사능+검출+현황(스웨덴+베리+잼)-page-1-table-1.csv
"유기농 라즈베리
앤 블루베리 잼"	스웨덴	2017-10-06	428	3	불검출	적합	./tables/192/20170210+기타국가+방사능+검출+현황(스웨덴+베리+잼)-page-1-table-1.csv
유기농 링곤베리 잼	스웨덴	2018-04-05	403	2	불검출	적합	./tables/192/20170210+기타국가+방사능+검출+현황(스웨덴+베리+잼)-page-1-table-1.csv
건조능이버섯	중국	"-
(2016년)"	195	5	불검출	적합	./tables/198/20170109+기타국가+방사능+검출+현황(중국+버섯+3건)-page-1-table-1.csv
냉동송이버섯	중국	"-
(2016년)"	5,165	1	불검출	적합	./tables/198/20170109+기타국가+방사능+검출+현황(중국+버섯+3건)-page-1-table-1.csv
냉동능이버섯	중국	"-
(2016년)"	7,984	1	불검출	적합	./tables/198/20170109+기타국가+방사능+검출+현황(중국+버섯+3건)-page-1-table-1.csv
냉동송이버섯	중국	2019-06-04	10,140	3	불검출	적합	./tables/200/20170104+기타국가+방사능+검출+현황(중국+버섯+2건)-page-1-table-1.csv
건조능이버섯	중국	2019-06-04	800	2	불검출	적합	./tables/200/20170104+기타국가+방사능+검출+현황(중국+버섯+2건)-page-1-table-1.csv
건조능이버섯	중국	2019-11-30	704	3	불검출	적합	./tables/201/20161228+기타국가+방사능+검출+현황(중국+능이버섯+2건)-page-1-table-1.csv
냉동능이버섯	중국	2019-11-10	13,320	3	불검출	적합	./tables/201/20161228+기타국가+방사능+검출+현황(중국+능이버섯+2건)-page-1-table-1.csv
송이버섯	중국	"-
(2016-11-27)"	96	1	불검출	적합	./tables/207/20161201+기타국가+방사능+검출+현황(중국+송이+능이버섯)-page-1-table-1.csv
냉동능이버섯	중국	-	5,990	1	불검출	적합	./tables/207/20161201+기타국가+방사능+검출+현황(중국+송이+능이버섯)-page-1-table-1.csv
건능이버섯	중국	"-
(2016-11-15)"	100	4	불검출	적합	./tables/209/20161123+기타국가+방사능+검출+현황(중국+능이버섯+2건)-page-1-table-1.csv
냉동능이버섯	중국	2019-04-24	10,630	2	불검출	적합	./tables/209/20161123+기타국가+방사능+검출+현황(중국+능이버섯+2건)-page-1-table-1.csv
냉동능이버섯	중국	2019-09-28	12,060	1	불검출	적합	./tables/210/20161121+기타국가+방사능+검출+현황(중국+능이,+송이버섯+2건)-page-1-table-1.csv
송이버섯(신선)	중국	"-
(2016-11-16)"	116	1	불검출	적합	./tables/210/20161121+기타국가+방사능+검출+현황(중국+능이,+송이버섯+2건)-page-1-table-1.csv
냉동능이버섯	중국	2019-01-19	12,400	2	불검출	적합	./tables/214/20161102+기타국가+방사능+검출+현황(중국+능이버섯2건)-page-1-table-1.csv
건조능이버섯	중국	"-
(2016-09-27)"	315	36	불검출	적합	./tables/214/20161102+기타국가+방사능+검출+현황(중국+능이버섯2건)-page-1-table-1.csv
건조능이버섯	중국	"-
(2016-08-01)"	500	9	불검출	적합	./tables/216/20161026+기타국가+방사능+검출+현황(중국+버섯+3건)-page-1-table-1.csv
송이버섯	중국	-	216	3	불검출	적합	./tables/216/20161026+기타국가+방사능+검출+현황(중국+버섯+3건)-page-1-table-1.csv
송이버섯	중국	-	300	1	불검출	적합	./tables/216/20161026+기타국가+방사능+검출+현황(중국+버섯+3건)-page-1-table-1.csv
건조능이버섯	중국	2019-09-14	180	27	불검출	적합	./tables/219/20161012+기타국가+방사능+검출+현황(중국+능이+2건)-page-1-table-1.csv
냉동능이버섯	중국	2019-09-14	11,000	1	불검출	적합	./tables/219/20161012+기타국가+방사능+검출+현황(중국+능이+2건)-page-1-table-1.csv
냉동능이버섯	중국	2019-09-08	10,200	2	불검출	적합	./tables/220/20161011+기타국가+방사능+검출+현황(중국+능이,+스웨덴+베리류2건)-page-1-table-1.csv
블루베리 잼	스웨덴	2017-11-23	856.8	3	불검출	적합	./tables/220/20161011+기타국가+방사능+검출+현황(중국+능이,+스웨덴+베리류2건)-page-1-table-1.csv
링곤베리 잼	스웨덴	2017-11-10	1,612	1	불검출	적합	./tables/220/20161011+기타국가+방사능+검출+현황(중국+능이,+스웨덴+베리류2건)-page-1-table-1.csv
냉동능이버섯	중국	2019-09-21	2,400	1	불검출	적합	./tables/220/20161011+기타국가+방사능+검출+현황(중국+능이,+러시아+차가버섯)-page-1-table-1.csv
차가버섯	러시아 연방	2018-09-08	1,275	24	불검출	적합	./tables/220/20161011+기타국가+방사능+검출+현황(중국+능이,+러시아+차가버섯)-page-1-table-1.csv
냉동능이버섯	중국	2018-12-24	13,450	1	불검출	적합	./tables/220/20161010+기타국가+방사능+검출+현황(중국+능이,+링곤베리잼)-page-1-table-1.csv
링곤베리 잼	스웨덴	2017-11-17	1,944	1	불검출	적합	./tables/220/20161010+기타국가+방사능+검출+현황(중국+능이,+링곤베리잼)-page-1-table-1.csv
건조능이버섯	중국	(2016-09-06)	104	18	불검출	적합	./tables/223/20160923+기타국가+방사능+검출+현황(중국능이)-page-1-table-1.csv
냉동능이버섯	중국	2019-08-25	12,500	4	불검출	적합	./tables/223/20160923+기타국가+방사능+검출+현황(중국능이)-page-1-table-1.csv
냉동능이버섯	중국	2019-02-17	11,330	2	불검출	적합	./tables/223/20160927+기타국가+방사능+검출+현황(중국+냉동능이+2건)-page-1-table-1.csv
냉동능이버섯	중국	2018-08-27	7,098	10	불검출	적합	./tables/223/20160927+기타국가+방사능+검출+현황(중국+냉동능이+2건)-page-1-table-1.csv
건조능이버섯	중국	2018-09-09	100.0	40	불검출	적합	./tables/223/20160928+기타국가+방사능+검출+현황(중국+건조능이+2건)-page-1-table-1.csv
건조능이버섯	중국	(2016-09-01)	504.0	34	불검출	적합	./tables/223/20160928+기타국가+방사능+검출+현황(중국+건조능이+2건)-page-1-table-1.csv
"밀크초콜릿
헤이즐넛"	터키	2017-05-08	17.0	3	불검출	적합	./tables/226/20160907+기타국가+방사능+검출+현황(터키,+러시아+2건)-page-1-table-1.csv
송이버섯	러시아	(2016-08-31)	212.0	8	불검출	적합	./tables/226/20160907+기타국가+방사능+검출+현황(터키,+러시아+2건)-page-1-table-1.csv
건조능이버섯	중국	2019-08-02	500	29	불검출	적합	./tables/226/20160909+기타국가+방사능+검출+현황(중국,키르기스스탄+능이)-page-1-table-1.csv
냉동능이	키르기스스탄	2018-07-29	11,826	4	불검출	적합	./tables/226/20160909+기타국가+방사능+검출+현황(중국,키르기스스탄+능이)-page-1-table-1.csv
건조능이버섯	중국	2019-01-27	780	22	불검출	적합	./tables/230/20160822+기타국가+방사능+검출+현황(중국+신선,+냉동능이버섯)-page-1-table-1.csv
냉동능이버섯	중국	2019-01-27	10,500	3	불검출	적합	./tables/230/20160822+기타국가+방사능+검출+현황(중국+신선,+냉동능이버섯)-page-1-table-1.csv
건조능이버섯	중국	(2016-07-22)	345.0	30	불검출	적합	./tables/232/cleaned_20160811_기타국가_방사능_검출_현황(중국_건조능이버섯)-page-1-table-1.csv
건조능이버섯	중국	(2016)	50.0	19	불검출	적합	./tables/232/cleaned_20160811_기타국가_방사능_검출_현황(중국_건조능이버섯)-page-1-table-1.csv
건조그물버섯	이탈리아	2017-05-03	112.8	48	불검출	적합	./tables/249/20160530+기타국가+방사능+검출+현황(이탈리아+그물버섯외+1건)-page-1-table-1.csv
꾀꼬리버섯	프랑스	2017-10-19	50.0	6	불검출	적합	./tables/249/20160530+기타국가+방사능+검출+현황(이탈리아+그물버섯외+1건)-page-1-table-1.csv
건조능이버섯	중국	2018-10-14	500	1	불검출	적합	./tables/251/20160517_기타국가_방사능_검출_현황(중국_능이버섯)-page-1-table-1.csv
냉동능이버섯	중국	2018-10-14	6,516	3	불검출	적합	./tables/251/20160517_기타국가_방사능_검출_현황(중국_능이버섯)-page-1-table-1.csv
냉동능이버섯	중국	2018-3-29	4,450	6	불검출	적합	./tables/251/20160519+기타국가+방사능+검출+현황(중국+냉동능이버섯)-page-1-table-1.csv
냉동능이버섯	중국	2018-3-29	13,500	3	불검출	적합	./tables/251/20160519+기타국가+방사능+검출+현황(중국+냉동능이버섯)-page-1-table-1.csv
냉동능이버섯	중국	(2016-04-05)	5,000	3	불검출	적합	./tables/254/20160504+기타국가+방사능+검출+현황(중국+능이버섯)-page-1-table-1.csv
"테스코
시나몬분말"	"영국
(원산지 :
마다가스카르)"	2018-01-01	108.0	3	불검출	적합	./tables/259/20160408+기타국가+방사능+검출+현황(영국+시나몬분말)-page-1-table-1.csv
"냉동
월귤나무열매"	폴란드	2018-01-28	102.0	8	불검출	적합	./tables/269/20160217+기타국가+방사능+검출+현황(폴란드+블루베리)-page-1-table-1.csv
"냉동
월귤나무열매"	폴란드	2017-11-05	600.0	16	불검출	적합	./tables/275/20160119+기타국가+방사능+검출+현황(폴란드+블루베리)-page-1-table-1.csv
건조그물버섯	이탈리아	2016-09-10	8.6	33	불검출	적합	./tables/276/20160113_기타국가_방사능_검출_현황(이탈리아_그물버섯)-page-1-table-1.csv
"월귤(블루베리)
/열매/냉동"	폴란드	2017-07-01	600.0	10	불검출	적합	./tables/300/20150918+기타국가+방사능+검출+현황(폴란드블루베리)-page-1-table-1.csv
헤이즐너트	터키	2017-08-26	7,500	10	불검출	적합	./tables/302/20150811+기타국가+방사능+검출+현황(터키+헤이즐너트)-page-1-table-1.csv
시나몬(파우더)	프랑스	2017-05-01	10.0	5	불검출	적합	./tables/302/20150911+기타국가+방사능+검출+현황(프랑스+시나몬)-page-1-table-1.csv
"링곤베리드링크
컨센트레이트"	스웨덴	2017-03-12	1,544	16	불검출	적합	./tables/308/20150811+기타국가+방사능+검출+현황(스웨덴+링곤베리)-page-1-table-1.csv
시나몬 스틱	이탈리아	2018-03-03	6.0	5	불검출	적합	./tables/309/20150810+기타국가+방사능+검출+현황(이탈리아+시나몬+스틱)-page-1-table-1.csv
"링곤베리드링크
컨센트레이트"	스웨덴	2017-03-12	1,584	17	불검출	적합	./tables/315/20150713+기타국가+방사능+검출+현황(스웨덴+링곤베리)-page-1-table-1.csv
"링곤베리드링크
컨센트레이트"	스웨덴	2017-03-12	2,455	16	불검출	적합	./tables/316/20150707+기타국가+방사능+검출+현황(스웨덴+링곤베리)-page-1-table-1.csv
링곤베리 잼	스웨덴	2016-09-14	10,368	2	불검출	적합	./tables/316/20150707+기타국가+방사능+검출+현황(스웨덴+링곤베리)-page-1-table-1.csv
건조그물버섯	이탈리아	2016-06-03	20.0	43	불검출	적합	./tables/317/20150703+기타국가+방사능+검출+현황(이탈리아+그물버섯)-page-1-table-1.csv
"블루베리 잼
(잼)"	스웨덴	2016-07-21	1,714	2	불검출	적합	./tables/324/20150601+기타국가+방사능+검출+현황(스웨덴산+블루베리잼)-page-1-table-1.csv
"건조그물버섯
(농산물)"	이탈리아	2016-05-07	10	16	불검출	적합	./tables/326/20150522+기타국가+방사능+검출+현황(러시아차가버섯,+이탈리아+그물버섯)-page-1-table-1.csv
"차가버섯
(농산물)"	러시아	"-
(2015-03-25)"	4,000	18	불검출	적합	./tables/326/20150522+기타국가+방사능+검출+현황(러시아차가버섯,+이탈리아+그물버섯)-page-1-table-1.csv
"링곤베리 잼
(잼류)"	스웨덴	2016-07-19	6,851	2	불검출	적합	./tables/328/20150512+기타국가+방사능+검출+현황(스웨덴산+잼류+2건)-page-1-table-1.csv
"블루베리 잼
(잼류)"	스웨덴	2016-04-14	20,653	7	불검출	적합	./tables/330/20150501+기타국가+방사능+검출+현황-page-1-table-1.csv
버섯류	러시아연방	2014-12-30	100.0	12	불검출	적합	./tables/349/20150115+기타국가+방사능+검출+현황(러시아산+차가버섯차)-page-1-table-1.csv
잼류	스웨덴	2016-02-24	435.0	2	불검출	적합	./tables/357/20141219+기타국가+방사능+검출+현황-page-1-table-1.csv
기타잼류	프랑스	2017-09-17	2,181.1	3	불검출	적합	./tables/363/20141119+기타국가+방사능+검출+현황(프랑스산+기타잼류)-page-1-table-1.csv
