"품목","계","","농산물","","가공식품","","건강기능식품","","식품첨가물",""
"접수
일자","건수 중량(㎏) 건수 중량(㎏) 건수 중량(㎏) 건수 중량(㎏) 건수 중량(㎏)","","","","","","","","",""
"합계","","437  1,194,775","6","96,040","","335  1,002,113","4","1,647","92","94,976"
"5.12","90","165,004","0","0","75","139,048","0","0","15","25,956"
"5.13","57","171,162","2","15,000","39","146,351","2","1,150","14","8,661"
"5.14","89","223,544","0","0","75","208,612","0","0","14","14,932"
"5.15","91","338,692","4","81,040","69","239,972","1","45","17","17,635"
"5.16","110","296,373","0","0","77","268,130","1","452","32","27,792"
